ADDRESS;ORIGINAL_LAT;ORIGINAL_LNG
 Москва г, Десеновское п, Футбольная ул, дом № 17;55.513973569218386;37.371613499999896
 Москва г, Сосенское п, Веласкеса б-р, дом № 1, корпус 2;55.591861;37.455572
 Московская обл, Видное г, Радужная ул, дом № 2;55.5425;37.709743
 Московская обл, Балашиха г, Керамик мкр., Береговая ул, дом № 4А;55.74423656897689;37.96903849999998
 Москва г, Юных Ленинцев ул, дом № 52;55.69978106901158;37.765381
 Москва г, Чонгарский б-р, дом № 7;55.651379069065854;37.61238900000001
 Москва г, Черняховского ул, дом № 4, строение 1;55.802791;37.533591
 Москва г, Ходынский б-р, дом № 4;55.789885;37.53394
 Москва г, Фрунзенская наб, дом № 44, строение 1;55.719708069003254;37.58298750000002
 Москва г, Тёплый Стан ул, дом № 27, строение 1;55.630473965380006;37.482422466934175
 Москва г, Сущёвская ул, дом № 27, строение 1;55.78358;37.601211
 Москва г, Дмитровка Б. ул, дом № 23, строение 1;55.76599119740728;37.60900368518067
 Москва г, Сретенка ул, дом № 27, строение 1;55.771342068957104;37.63213399999999
 Москва г, Солянка ул, дом № 1/2, строение 2;55.753422;37.638614
 Московская обл, Дмитров г, им А.Маркова мкр, дом № 22А;56.347828;37.529645
 Москва г, тер Сколково инновационного центра, б-р Большой, дом № 40;55.695806;37.346833
 Москва г, Чертаново Северное мкр, дом № 1А;55.637515200711576;37.60007368154522
 Москва г, Садовая-Спасская ул, дом № 21, строение 1;55.770166;37.650546
 Москва г, Рублевское ш, дом № 16, корпус 1;55.74030894822868;37.434533396898644
 Москва г, Пресненская наб, дом № 8, строение 1;55.747479;37.538691
 Москва г, Пресненская наб, дом № 12;55.749631;37.538085
 Москва г, Пресненская наб, дом № 10, строение 2;55.7474298862965;37.53482038954918
 Москва г, Остоженка ул, дом № 7, строение 1;55.74256658742363;37.60041380852889
 Москва г, Осенний б-р, дом № 16, корпус 1;55.76044356895895;37.40847149999999
 Москва г, Оршанская ул, дом № 9, строение 1;55.74253617359307;37.404243601852414
 Москва г, Оружейный пер, дом № 41;55.77357;37.606123
 Московская обл, Ленинский р-н, Сапроново д, Северный кв-л, дом № 2;55.53723542595984;37.7225521884994
 Московская обл, Дмитров г, Инженерная ул, дом № 25;56.33495560869743;37.53396280422974
 Москва г, Одесская ул, владение № 2, строение 1,2,3,4;55.664182;37.598663
 Московская обл, Серпухов г, Борисовское ш, дом № 1;54.91751506978816;37.4264915
 Московская обл, Химки г, тер аэропорт Шереметьево (пом. Терминала Е 3 этаж);55.965812;37.413711
 (Шереметьево);55.962309;37.405552
 Московская обл, Химки г, Международное ш, владение № 2, строение 1 (Шереметьево);55.962201;37.405563
 Московская обл, Химки г, Международное ш, владение № 2, строение 1 (Шереметьево);55.963153;37.407216
